0000012Curiosidades Do Universo       5628/09/2019002356
0000133Mistérios Do Império Romano    1331/12/1899000000
0000212Maiores Recordes do Mundo      1731/12/1899000000
0000231Senhor Dos Anéis - O retorno   1231/12/1899000000
0000255Marley e Eu                    2331/12/1899000000
0000321Melhores Receitas de Bolo       726/05/2019231455
0000323Darwin e Religião              3231/12/1899000000
0000432O Pensador: Sócrates           3231/12/1899000000
0000441Palhaço Assassino               820/06/2019000021
0000532Matemática Básica 1             231/12/1899000000
0000542Receitas da Itália              731/12/1899000000
0000919Guinness Book 2017             1731/12/1899000000
0000920Guinness Book 2018             1718/06/2019314431
0000921Guinness Book 2019             1731/12/1899000000
0000988Romeu e Julieta                2331/12/1899000000
0002134Revolução dos Bixos             531/12/1899000000
0002355Os Polos Políticos              523/10/2019000321
0003241Matemática II                   231/12/1899000000
0004213Ciências Humanas                231/12/1899000000
0004214A história das estrelas        5630/08/2019002356
0008238As histórias do Egito          1331/12/1899000000
0012321Harry Potter Final              320/07/2019000123
9342141Noite Sombria                  1331/12/1899000000
